Brand,Model,Model_Type,Seats,Colors,Fuel_Type,Transmission,On_Road_Price,Location,Availability
Mahindra,XUV700,SUV,7 Seater,12 color,Petrol,Automatic,₹24.01 L,Ahmedabad,Unavailable
Maruti Suzuki,Wagon R,Hatchback,5 Seater,6 color,Petrol,Manual,₹7.09 L,Ahmedabad,Unavailable
Tata,Nexon,SUV,5 Seater,4 color,Diesel,Manual,₹12.73 L,Ahmedabad,Discontinued
Hyundai,Creta,SUV,5 Seater,8 color,Petrol,Manual,₹12.70 L,Ahmedabad,Unavailable
Maruti Suzuki,XL6,SUV,6 Seater,7 color,CNG,Manual,₹14.59 L,Ahmedabad,Unavailable
Maruti Suzuki,Invicto,SUV,8 Seater,4 color,Petrol,Automatic,₹29.17 L,Ahmedabad,Unavailable
Mahindra,Scorpio-N,SUV,7 Seater,5 color,Diesel,Manual,₹20.82 L,Ahmedabad,Unavailable
Mahindra,Bolero Neo,SUV,7 Seater,6 color,Diesel,Manual,₹13.13 L,Ahmedabad,Unavailable
Renault,Kwid,Hatchback,5 Seater,5 color,Petrol,Automatic,₹6.76 L,Ahmedabad,Unavailable
Toyota,Innova Hycross,SUV,8 Seater,7 color,Petrol,Automatic,₹22.63 L,Ahmedabad,Unavailable
Bentley,Bentayga,SUV,5 Seater,4 color,Petrol,Automatic,₹6.94 Cr,Ahmedabad,Unavailable
Hyundai,Exter,SUV,5 Seater,7 color,CNG,Manual,₹10.68 L,Ahmedabad,Discontinued
Honda,City,Sedan,5 Seater,6 color,Petrol,Automatic,₹17.28 L,Ahmedabad,Unavailable
Mercedes-Benz,AMG EQS,Sedan,5 Seater,5 color,Electric,Automatic,₹2.67 Cr,Ahmedabad,Unavailable
Renault,Kiger,SUV,5 Seater,13 color,Petrol,Automatic,₹10.51 L,Ahmedabad,Unavailable
Maruti Suzuki,Swift,Hatchback,5 Seater,6 color,Petrol,Manual,₹8.62 L,Ahmedabad,Unavailable
Toyota,Urban Cruiser Taisor,SUV,5 Seater,5 color,Petrol,Manual,₹9.77 L,Ahmedabad,Unavailable
MG,ZS EV,SUV,5 Seater,4 color,Electric,Automatic,₹27.72 L,Ahmedabad,Unavailable
Hyundai,Tucson,SUV,5 Seater,7 color,Diesel,Automatic,₹40.83 L,Ahmedabad,Unavailable
Skoda,Kylaq,SUV,5 Seater,1 color,Petrol,Manual,₹13.08 L,Ahmedabad,Discontinued
Tata,Punch,SUV,5 Seater,1 color,Petrol,Manual,₹9.75 L,Ahmedabad,Unavailable
Renault,Triber (2019-2025),MPV/MUV,7 Seater,6 color,Petrol,Automatic,₹9.20 L,Ahmedabad,Unavailable
Honda,Elevate,SUV,5 Seater,7 color,Petrol,Automatic,₹15.63 L,Ahmedabad,Unavailable
Mahindra,Thar,SUV,4 Seater,1 color,Diesel,Manual,₹18.55 L,Ahmedabad,Discontinued
Mercedes-Benz,EQE SUV,SUV,5 Seater,9 color,Electric,Automatic,₹1.52 Cr,Ahmedabad,Unavailable
Mercedes-Benz,EQS,Sedan,5 Seater,5 color,Electric,Automatic,₹1.77 Cr,Ahmedabad,Unavailable
Maruti Suzuki,Celerio,Hatchback,5 Seater,6 color,Petrol,Manual,₹6.82 L,Ahmedabad,Unavailable
Maruti Suzuki,Baleno (2022-2025),Hatchback,5 Seater,7 color,Petrol,Manual,₹10.70 L,Ahmedabad,Unavailable
MG,Hector,SUV,5 Seater,3 color,Petrol,Manual,₹18.40 L,Ahmedabad,Unavailable
MG,Hector Plus,SUV,7 Seater,2 color,Diesel,Manual,₹19.85 L,Ahmedabad,Unavailable
Mercedes-Benz,G-Class,SUV,5 Seater,7 color,Diesel,Automatic,₹2.88 Cr,Ahmedabad,Unavailable
Toyota,Glanza,Hatchback,5 Seater,5 color,Petrol,Automatic,₹9.39 L,Ahmedabad,Unavailable
Hyundai,Venue N-Line,SUV,5 Seater,5 color,Petrol,Automatic,₹14.72 L,Ahmedabad,Unavailable
Maruti Suzuki,Ertiga (2022-2025),MPV/MUV,7 Seater,6 color,CNG,Manual,₹12.58 L,Ahmedabad,Unavailable
Mercedes-Benz,GLA,SUV,5 Seater,5 color,Diesel,Automatic,₹63.73 L,Ahmedabad,Unavailable
Tata,Altroz,Hatchback,5 Seater,5 color,Petrol,Automatic,₹11.33 L,Ahmedabad,Unavailable
Maruti Suzuki,Grand Vitara,SUV,5 Seater,9 color,Petrol,Automatic,₹18.30 L,Ahmedabad,Unavailable
