Brand,Model,Model_Type,Seats,Colors,Fuel_Type,Transmission,On_Road_Price,Location,Availability
Tata,Nexon,SUV,5,2,Petrol,Manual,989000,Bangalore,Available
Tata,Punch,SUV,5,2,Petrol,Manual,772000,Bangalore,Available
Maruti Suzuki,Swift,Hatchback,5,4,Petrol,Manual,810000,Bangalore,Available
Hyundai,Grand i10 Nios,Hatchback,5,3,Petrol,Manual,742000,Bangalore,Available
Hyundai,Aura,Sedan,5,1,CNG,Manual,930000,Bangalore,Available
Hyundai,Venue,SUV,5,4,Petrol,Manual,977000,Bangalore,Available
Toyota,Glanza,Hatchback,5,5,Petrol,Manual,844999,Bangalore,Available
Hyundai,Creta,SUV,5,11,Petrol,Manual,1405000,Bangalore,Available
Maruti Suzuki,Dzire,Sedan,5,7,Petrol,Manual,977999,Bangalore,Available
Honda,City,Sedan,5,6,Petrol,Automatic,2039999,Bangalore,Available
Hyundai,i20 N Line,Hatchback,5,7,Petrol,Automatic,1410000,Bangalore,Available
Maruti Suzuki,Brezza,SUV,5,5,Petrol,Manual,1067000,Bangalore,Available
Maruti Suzuki,S-Presso,SUV,5,7,Petrol,Manual,689000,Bangalore,Available
Mahindra,Scorpio-N,SUV,7,3,Petrol,Manual,1777000,Bangalore,Available
Mahindra,Bolero,SUV,7,1,Diesel,Manual,1219000,Bangalore,Available
Maruti Suzuki,XL6,SUV,6,6,Petrol,Manual,1491000,Bangalore,Available
Maruti Suzuki,Ertiga,MPV/MUV,7,6,Petrol,Manual,1101000,Bangalore,Available
Hyundai,Venue N-Line,SUV,5,5,Petrol,Automatic,1627000,Bangalore,Available
Maruti Suzuki,Grand Vitara,SUV,5,1,Petrol,Manual,1440000,Bangalore,Available
Toyota,Urban Cruiser Hyryder,SUV,5,7,Petrol,Manual,1420000,Bangalore,Available
Hyundai,Tucson,SUV,5,5,Petrol,Automatic,3719000,Bangalore,Available
Skoda,Kushaq,SUV,5,6,Petrol,Manual,2052000,Bangalore,Available
Kia,Seltos,SUV,5,7,Petrol,Manual,1402000,Bangalore,Available
Kia,Sonet,SUV,5,7,Petrol,Manual,1025000,Bangalore,Available
Hyundai,Exter,SUV,5,1,Petrol,Manual,770000,Bangalore,Available
Maruti Suzuki,Fronx,SUV,5,6,Petrol,Manual,931000,Bangalore,Available
Maruti Suzuki,Invicto,SUV,7,4,Petrol,Automatic,3236000,Bangalore,Available
MG,Astor,SUV,5,2,Petrol,Manual,1446000,Bangalore,Available
MG,Gloster,SUV,7,4,Diesel,Automatic,5129000,Bangalore,Available
Toyota,Innova Hycross,SUV,7,7,Petrol,Automatic,2507000,Bangalore,Available
Hyundai,Verna,Sedan,5,7,Petrol,Manual,1401000,Bangalore,Available
Tata,Harrier,SUV,5,2,Diesel,Manual,2360000,Bangalore,Available
Mahindra,Scorpio Classic,SUV,7,3,Diesel,Manual,1747000,Bangalore,Available
Mahindra,XUV400,SUV,5,10,Electric,Automatic,1862000,Bangalore,Available
MG,Hector,SUV,5,4,Petrol,Manual,2314000,Bangalore,Available
MG,Hector Plus,SUV,7,4,Petrol,Manual,2412000,Bangalore,Available
Toyota,Innova Crysta,SUV,8,5,Diesel,Manual,2505000,Bangalore,Available
Toyota,Rumion,SUV,7,5,Petrol,Manual,1334000,Bangalore,Available
Honda,Elevate,SUV,5,7,Petrol,Manual,1594000,Bangalore,Available
Volkswagen,Taigun,SUV,5,6,Petrol,Manual,1807000,Bangalore,Available
Volkswagen,Virtus,Sedan,5,7,Petrol,Manual,1705000,Bangalore,Available
Kia,Carens,SUV,7,7,Diesel,Manual,1653000,Bangalore,Available
Mahindra,XUV700,SUV,7,5,Petrol,Manual,1837000,Bangalore,Available
Skoda,Slavia,Sedan,5,2,Petrol,Automatic,2070000,Bangalore,Available
Maruti Suzuki,Wagon R,Hatchback,5,3,Petrol,Manual,724000,Bangalore,Available
Maruti Suzuki,Celerio,Hatchback,5,6,Petrol,Manual,706000,Bangalore,Available
Mahindra,XUV 3XO,SUV,5,7,Petrol,Manual,1162000,Bangalore,Available
